"","V1","V2","V3"
"1",1506002587,3265.48,0.0033
"2",1506002606,3266.34,0.0051
"3",1506002634,3266.11,0.0057
"4",1506002663,3265.94,0.0028
"5",1506002691,3266.63,0.0042
"6",1506002721,3266.62,0.0054
"7",1506002750,3264,0.001
"8",1506002779,3264.23,0.0028
"9",1506002808,3264.37,0.0058
"10",1506002838,3261.83,0.0057
"11",1506002866,3269.95,0.0013
"12",1506002894,3270.31,0.0026
"13",1506002924,3266.92,0.0045
"14",1506002954,3266.92,0.0058
"15",1506002982,3264.53,0.0053
"16",1506003012,3267.22,0.003
"17",1506003041,3267.79,0.0044
"18",1506003070,3267.35,0.0027
"19",1506003098,3270.29,0.0013
"20",1506003127,3270.26,0.0024
"21",1506003156,3271.41,0.0022
"22",1506003185,3270.79,0.0017
"23",1506003214,3270.77,0.0046
"24",1506003243,3270.66,0.003
"25",1506003273,3270.68,0.0048
"26",1506003301,3270.68,0.0011
"27",1506003331,3272.23,0.0022
"28",1506003360,3271.69,0.0027
"29",1506003389,3271.59,0.0023
"30",1506003418,3271.76,0.003
"31",1506003447,3271.65,0.0014
"32",1506003476,3271.79,0.0034
"33",1506003505,3271.36,0.0053
"34",1506003534,3271.68,0.0057
"35",1506003563,3271.68,0.0037
"36",1506003592,3271.39,0.0027
"37",1506003621,3270.63,0.0047
"38",1506003650,3270.09,0.0042
"39",1506003679,3266.39,0.0053
"40",1506003708,3269.61,0.0031
"41",1506003736,3268.81,0.002
"42",1506003766,3268.85,0.0025
"43",1506003795,3268.02,0.0022
"44",1506003824,3268.09,0.0023
"45",1506003854,3267.99,0.0054
"46",1506003882,3270.61,0.0045
"47",1506003911,3270.26,0.0037
"48",1506003940,3270.26,0.0041
"49",1506003969,3271.11,0.0054
"50",1506003998,3270.36,0.0022
"51",1506004027,3270.34,0.0034
"52",1506004055,3271.24,0.0018
"53",1506004085,3271.17,0.0021
"54",1506004114,3270.2,0.0037
"55",1506004144,3268.78,0.0055
"56",1506004173,3268.5,0.0017
"57",1506004202,3268.41,0.001
"58",1506004233,3268.55,0.0036
"59",1506004260,3268.5,0.0011
"60",1506004289,3269.39,0.0037
"61",1506004319,3269.38,0.0041
"62",1506004349,3269.13,0.0027
"63",1506004377,3269.18,0.0053
"64",1506004407,3269.04,0.0018
"65",1506004436,3268.09,0.0014
"66",1506004466,3266.2,0.003
"67",1506004494,3266.2,0.002
"68",1506004522,3266.2,0.0037
"69",1506004552,3266.2,0.0011
"70",1506004581,3266.2,0.0042
"71",1506004609,3266.2,0.0012
"72",1506004639,3266.2,0.0047
"73",1506004668,3266.2,0.0028
"74",1506004698,3266.2,0.0044
"75",1506004727,3266.2,0.0025
"76",1506004756,3266.2,0.0033
"77",1506004785,3266.2,0.0038
"78",1506004815,3266.2,0.0028
"79",1506004843,3246.98,0.0025
"80",1506004872,3246.82,0.0013
"81",1506004902,3248.1,0.0056
"82",1506004932,3245.08,0.0036
"83",1506004960,3245.18,0.0014
"84",1506004989,3245.08,0.0041
"85",1506005019,3245.54,0.0034
"86",1506005048,3244.11,0.0018
"87",1506005077,3244.38,0.0027
"88",1506005107,3245.25,0.0021
"89",1506005140,3245.24,0.0056
"90",1506005167,3244.430043,0.0051
"91",1506005195,3244.430043,0.0022
"92",1506005225,3246.05263525,0.0058
"93",1506005254,3246.05263525,0.0057
"94",1506005283,3244.44473605,0.0048
"95",1506005311,3244.44473605,0.0038
"96",1506005340,3244.44473605,0.0026
"97",1506005370,3237.91642986,0.0028
"98",1506005399,3237.91642986,0.003
"99",1506005428,3236.63267825,0.0057
"100",1506005456,3236.63267825,0.0035
"101",1506005484,3227.42763976,0.0051
"102",1506005514,3227.42763976,0.0053
"103",1506005544,3227.42763976,0.0058
"104",1506005573,3227.42763976,0.0023
"105",1506005602,3228.6451095,0.003
"106",1506005630,3228.6451095,0.0041
"107",1506005660,3228.6451095,0.0058
"108",1506005688,3228.6451095,0.0028
"109",1506005718,3229.52529751,0.003
"110",1506005747,3229.52529751,0.0041
"111",1506005778,3216.7252285,0.0015
"112",1506005805,3216.7252285,0.0017
"113",1506005835,3201.0050005,0.0055
"114",1506005863,3201.0050005,0.0015
"115",1506005893,3201.0050005,0.0048
"116",1506005921,3201.0050005,0.0057
"117",1506005950,3195.9450895,0.0031
"118",1506005979,3195.9450895,0.0032
"119",1506006008,3195.7551085,0.0032
"120",1506006036,3195.7551085,0.0017
"121",1506006069,3194.970187,0.0017
"122",1506006099,3194.970187,0.0017
"123",1506006124,3189.19351535,0.004
"124",1506006153,3189.19351535,0.0024
"125",1506006182,3189.19351535,0.0028
"126",1506006213,3189.19351535,0.0015
"127",1506006241,3189.19351535,0.0035
"128",1506006271,3190.78710469,0.0058
"129",1506006300,3190.78710469,0.0054
"130",1506006329,3197.460912,0.0058
"131",1506006358,3197.460912,0.0024
"132",1506006388,3198.1451845,0.001
"133",1506006416,3198.1451845,0.0011
"134",1506006446,3204.7324248,0.0042
"135",1506006475,3204.7324248,0.0055
"136",1506006504,3207.9351045,0.0058
"137",1506006533,3207.9351045,0.0018
"138",1506006562,3207.9351045,0.0038
"139",1506006590,3207.9351045,0.0038
"140",1506006620,3207.9351045,0.004
"141",1506006649,3207.9351045,0.0011
"142",1506006678,3207.9351045,0.0024
"143",1506006707,3207.9351045,0.0027
"144",1506006736,3207.9351045,0.0051
"145",1506006765,3207.9351045,0.0058
"146",1506006795,3206.35612242,0.0045
"147",1506006824,3206.35612242,0.0054
"148",1506006854,3203.77086392,0.0053
"149",1506006883,3203.77086392,0.0051
"150",1506006912,3196.160115,0.0035
"151",1506006941,3196.160115,0.0015
"152",1506006971,3192.53131188,0.002
"153",1506007000,3192.53131188,0.0042
"154",1506007028,3177.8850005,0.0015
"155",1506007057,3177.8850005,0.0011
"156",1506007087,3166.7261165,0.0012
"157",1506007115,3158.6453085,0.0054
"158",1506007145,3156.800124,0.0031
"159",1506007173,3156.800124,0.005
"160",1506007202,3156.800124,0.0027
"161",1506007232,3155.23704033,0.0054
"162",1506007260,3155.23704033,0.0021
"163",1506007290,3146.9776747,0.0028
"164",1506007319,3146.9776747,0.0043
"165",1506007349,3134.470446,0.0045
"166",1506007377,3134.470446,0.0042
"167",1506007407,3127.0919978,0.0047
"168",1506007435,3127.0919978,0.0051
"169",1506007465,3107.8156815,0.0047
"170",1506007494,3107.8156815,0.005
"171",1506007526,3105.470447,0.0046
"172",1506007553,3105.470447,0.0034
"173",1506007584,3107.0752865,0.0013
"174",1506007611,3107.0752865,0.0028
"175",1506007641,3116.41806066,0.005
"176",1506007669,3116.41806066,0.001
"177",1506007698,3118.2125212,0.004
"178",1506007726,3118.2125212,0.0025
"179",1506007757,3121.0722352,0.0036
"180",1506007785,3121.0722352,0.0041
"181",1506007815,3122.5120912,0.0058
"182",1506007843,3122.5120912,0.0037
"183",1506007874,3122.5120912,0.0038
"184",1506007902,3122.5120912,0.0012
"185",1506007932,3117.5125912,0.0034
"186",1506007960,3117.5125912,0.0023
"187",1506007989,3112.0350985,0.003
"188",1506008018,3112.0350985,0.0044
"189",1506008048,3103.35826123,0.0055
"190",1506008077,3103.35826123,0.0036
"191",1506008110,3106.28259877,0.0055
"192",1506008136,3106.28259877,0.0011
"193",1506008165,3108.43278775,0.0031
"194",1506008194,3108.43278775,0.0035
"195",1506008224,3114.47717336,0.0013
"196",1506008254,3114.47717336,0.0036
"197",1506008282,3114.47717336,0.0023
"198",1506008312,3121.3950315,0.0048
"199",1506008340,3121.3950315,0.0048
"200",1506008370,3121.3950315,0.0015
"201",1506008399,3121.3950315,0.0053
"202",1506008428,3118.10600392,0.0013
"203",1506008457,3118.10600392,0.0028
"204",1506008488,3110.0150005,0.0048
"205",1506008516,3110.0150005,0.0027
"206",1506008545,3110.0150005,0.0051
"207",1506008573,3110.0150005,0.0042
"208",1506008603,3112.76959262,0.0045
"209",1506008631,3112.76959262,0.0014
"210",1506008660,3120.520312,0.0024
"211",1506008689,3120.520312,0.0025
"212",1506008719,3120.520312,0.0048
"213",1506008748,3120.520312,0.0056
"214",1506008777,3123.649999,0.0031
"215",1506008806,3123.649999,0.0022
"216",1506008836,3123.649999,0.0021
"217",1506008865,3123.649999,0.0012
"218",1506008895,3123.649999,0.0041
"219",1506008923,3123.649999,0.0054
"220",1506008953,3123.649999,0.0041
"221",1506008981,3123.649999,0.0015
"222",1506009011,3126.0552395,0.0055
"223",1506009039,3126.0552395,0.0058
"224",1506009068,3128.46665535,0.0014
"225",1506009097,3128.46665535,0.0036
"226",1506009126,3130.039998,0.0044
"227",1506009155,3130.039998,0.0047
"228",1506009184,3130.039998,0.002
"229",1506009213,3130.039998,0.0011
"230",1506009242,3130.039998,0.0022
"231",1506009272,3130.039998,0.0013
"232",1506009302,3130.039998,0.0031
"233",1506009329,3131.44721654,0.0037
"234",1506009358,3131.44721654,0.0028
"235",1506009388,3136.24023719,0.0035
"236",1506009417,3136.24023719,0.0021
"237",1506009447,3137.90823081,0.0045
"238",1506009476,3137.90823081,0.0058
"239",1506009506,3141.20974147,0.0021
"240",1506009535,3141.20974147,0.0023
"241",1506009565,3141.20974147,0.0014
"242",1506009593,3141.20974147,0.0045
"243",1506009625,3141.20974147,0.0053
"244",1506009652,3141.20974147,0.0013
"245",1506009680,3141.20974147,0.0026
"246",1506009709,3141.20974147,0.0026
"247",1506009739,3141.20974147,0.0023
"248",1506009768,3141.20974147,0.0056
"249",1506009798,3140.0050005,0.0036
"250",1506009826,3140.0050005,0.0023
"251",1506009856,3139.31231543,0.0015
"252",1506009884,3139.31231543,0.0018
"253",1506009915,3132.61667337,0.0024
"254",1506009942,3132.61667337,0.0051
"255",1506009972,3132.61667337,0.0018
"256",1506010000,3132.61667337,0.0018
"257",1506010029,3126.90827317,0.0025
"258",1506010059,3126.90827317,0.002
"259",1506010087,3126.90827317,0.0012
"260",1506010116,3126.90827317,0.0016
"261",1506010146,3126.90827317,0.0025
"262",1506010176,3126.90827317,0.0033
"263",1506010204,3126.90827317,0.0036
"264",1506010233,3126.90827317,0.0021
"265",1506010262,3126.90827317,0.0053
"266",1506010292,3126.90827317,0.0042
"267",1506010320,3126.90827317,0.0058
"268",1506010350,3114.7552245,0.0013
"269",1506010378,3114.7552245,0.0011
"270",1506010407,3112.8150355,0.0043
"271",1506010436,3112.8150355,0.0034
"272",1506010469,3104.16082601,0.0032
"273",1506010494,3104.16082601,0.0036
"274",1506010523,3087.960093,0.0047
"275",1506010552,3087.960093,0.0043
"276",1506010582,3086.43604542,0.0058
"277",1506010611,3086.43604542,0.0014
"278",1506010640,3087.410148,0.0024
"279",1506010669,3087.410148,0.0011
"280",1506010698,3087.29834126,0.0021
"281",1506010727,3087.29834126,0.0046
"282",1506010757,3098.41198449,0.0052
"283",1506010785,3098.41198449,0.0032
"284",1506010815,3098.41198449,0.0014
"285",1506010844,3098.41198449,0.0046
"286",1506010875,3101.09043702,0.0046
"287",1506010903,3101.09043702,0.004
"288",1506010932,3110.53822374,0.0054
"289",1506010960,3110.53822374,0.0033
"290",1506010991,3099.39073698,0.0051
"291",1506011018,3099.39073698,0.0057
"292",1506011048,3096.85548348,0.0011
"293",1506011077,3096.85548348,0.0048
"294",1506011107,3096.85548348,0.0031
"295",1506011135,3096.85548348,0.0046
"296",1506011164,3096.85548348,0.0013
"297",1506011194,3096.85548348,0.0052
"298",1506011221,3096.85548348,0.0048
"299",1506011251,3092.17555146,0.0017
"300",1506011280,3092.17555146,0.0035
"301",1506011311,3088.330134,0.0033
"302",1506011338,3088.330134,0.0026
"303",1506011369,3087.6652055,0.003
"304",1506011397,3087.6652055,0.0048
"305",1506011427,3080.6850315,0.0014
"306",1506011455,3080.6850315,0.0044
"307",1506011485,3080.6850315,0.0016
"308",1506011513,3080.6850315,0.0053
"309",1506011545,3073.520748,0.0048
"310",1506011571,3073.520748,0.001
"311",1506011601,3068.8950005,0.0046
"312",1506011628,3068.8950005,0.0058
"313",1506011661,3060.8754125,0.0032
"314",1506011687,3060.8754125,0.0047
"315",1506011717,3066.90277976,0.0034
"316",1506011746,3066.90277976,0.0032
"317",1506011777,3056.0363965,0.0037
"318",1506011804,3056.0363965,0.0046
"319",1506011835,3063.0050005,0.0023
"320",1506011863,3063.0050005,0.0014
